author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
"By NAJIB JOBAIN, JACK JEFFERY and JULIA FRANKEL Associated Press",Israeli airstrikes on Gaza resume after weeklong truce with Hamas ends,"Israel’s war with Hamas resumed in full force Friday. Airstrikes hit houses and buildings in the Gaza Strip minutes after a weeklong truce ended. Black smoke billowed from the besieged territory, where health authorities reported dozens of Palestinians killed…",https://apnews.com/article/israel-hamas-war-news-12-1-2023-c944c736efdf8993c7a17cf683d6e364,https://bloximages.chicago2.vip.townnews.com/thesunchronicle.com/content/tncms/assets/v3/editorial/6/52/6521604a-b78f-5694-a09e-c71be7fa43bb/656a50ab3ebb2.image.jpg?crop=1763%2C926%2C0%2C124&resize=1200%2C630&order=crop%2Cresize,2023-12-01T21:53:00Z,"KHAN YOUNIS, Gaza Strip (AP) Israels war with Hamas erupted again Friday, as airstrikes hit houses and buildings in the Gaza Strip minutes after a weeklong truce expired. Health authorities in the be… [+8505 chars]",associated-press,Associated Press
AP,That Was Fast – Jezebel Website Is Sold And Will Reopen,"The irreverent feminist website Jezebel is making a comeback less than a month after it was shut down. Paste Magazine, a digital pop culture publication, announced Wednesday that it was buying Jezebel.com from G/O Media, which closed Jezebel and laid off its …",https://apnews.com/article/jezebel-paste-magazine-feminist-publishing-72c5a8f168a5444b0904c41cf8d8abd0,https://dims.apnews.com/dims4/default/ab20e1c/2147483647/strip/true/crop/3552x1998+0+200/resize/1440x810!/quality/90/?url=https%3A%2F%2Fassets.apnews.com%2F9e%2Ff2%2F169ec4383a32e44e19bf3f7a7cea%2Fdc25a61cdb084a159997704de80c4905,2023-12-01T21:01:00Z,"NEW YORK (AP) The irreverent feminist website Jezebel is making a comeback less than a month after it was shut down.
Paste Magazine, a digital pop culture publication based in Atlanta, announced Wed… [+2615 chars]",associated-press,Associated Press
Mike Stobbe,"Flu is on the rise while RSV infections may be peaking, US health officials say",U.S. health officials say flu is picking up steam while RSV lung infections may be peaking. The Centers for Disease Control and Prevention said Friday that COVID-19 remains the main cause of hospitalizations and deaths in the country. The agency said a surge …,https://apnews.com/article/flu-season-covid-e89147cb8da5580dd470f75ab6526e45,https://dims.apnews.com/dims4/default/03bd070/2147483647/strip/true/crop/3212x1807+0+167/resize/1440x810!/quality/90/?url=https%3A%2F%2Fassets.apnews.com%2F5f%2Fb5%2Fb68bddc1e4a046498a5fcdff8140%2Fdad518c7884943659f2cae0efa037999,2023-12-01T19:29:49Z,"NEW YORK (AP) Flu is picking up steam while RSV lung infections that can hit kids and older people hard may be peaking, U.S. health officials said Friday.
COVID-19, though, continues to cause the mo… [+1866 chars]",associated-press,Associated Press
KEVIN FREKING,SASHAY AWAY!,"Rep. George Santos of New York will confront a third effort to expel him from the House on Friday, sensing the vote is likely to be his last and intent on not going away quietly. The first-term Republican could well become just the sixth member of the House t…",https://apnews.com/article/george-santos-expulsion-vote-ethics-investigation-fd0f1524065883c6b2fe3e6f9afd84db,https://dims.apnews.com/dims4/default/f233fc6/2147483647/strip/true/crop/4193x2359+0+218/resize/1440x810!/quality/90/?url=https%3A%2F%2Fassets.apnews.com%2F60%2F66%2Fa769a0ee8be13c0a33ad1d78d03d%2F9c384125a2c946a2b4c79d57d64cd028,2023-12-01T16:37:37Z,"WASHINGTON (AP) Rep. George Santos of New York is facing a critical vote to expel him from the House on Friday as lawmakers weigh whether his actions, fabrications and alleged lawbreaking warrant the… [+5122 chars]",associated-press,Associated Press
AP,Can The Oscars Telecast Solve Its Dwindling Viewership Problem By Starting Earlier? We’ll Find Out.,"Academy Awards enthusiasts won’t have to stay up quite as late to hear the best picture winner in March. The 96th Oscars will begin one hour early, with the official show starting at 7 p.m. Eastern for the first time, ABC said Thursday. The official pre-show …",https://apnews.com/article/oscars-broadcast-2024-e9513b3a6132b3cd0462f47570297734,https://dims.apnews.com/dims4/default/2c6aa3f/2147483647/strip/true/crop/3000x1688+0+106/resize/1440x810!/quality/90/?url=https%3A%2F%2Fassets.apnews.com%2F73%2F2f%2F900ed666d23bf80321a9f4edd561%2Fc9d7c38be67e4fdd8ef819f8e71cfba3,2023-12-01T15:31:26Z,"Academy Awards enthusiasts wont have to stay up quite as late to hear the best picture winner in March.
The 96th Oscars will begin one hour early, with the official show starting at 7 p.m. Eastern f… [+894 chars]",associated-press,Associated Press
AP,Federal Judge Blocks Montana’s TikTok Ban,A federal judge has blocked Montana's first-in-the-nation law banning the video-sharing app TikTok in the state while a legal challenge to the law moves through the courts. U.S. District Judge Donald Molloy says the ban “oversteps state power and infringes on…,https://apnews.com/article/montana-tiktok-ban-25c561396e85fee8926309daf4ad4b4f,https://dims.apnews.com/dims4/default/c3f49b7/2147483647/strip/true/crop/4947x2783+0+257/resize/1440x810!/quality/90/?url=https%3A%2F%2Fassets.apnews.com%2F1a%2F14%2F68e2234d566dcb1e74f306c856e5%2F527b3d0bda6f41b49d3e48695970e5e4,2023-12-01T14:06:00Z,"HELENA, Mont. (AP) Montanas first-in-the-nation law banning the video-sharing app TikTok in the state was blocked Thursday, one month before it was set to take effect, by a federal judge who called t… [+4757 chars]",associated-press,Associated Press
By JUAN A. LOZANO - Associated Press,Report: Belief death penalty is applied unfairly shows capital punishment's growing isolation in US,An annual report on capital punishment says more Americans now believe the death penalty is administered unfairly. The report says a Gallup poll from October that found 50% of Americans believe capital punishment is applied unfairly is another sign of…,https://apnews.com/article/death-penalty-decline-report-executions-capital-punishment-fa998133f3b8b0bbe2b80b21c08534f5,https://bloximages.newyork1.vip.townnews.com/richmond.com/content/tncms/assets/v3/editorial/f/d2/fd2bb0e3-9b50-5d3f-8822-28efcb9b4cf5/6569ced36eb40.image.jpg?crop=1763%2C926%2C0%2C124&resize=1200%2C630&order=crop%2Cresize,2023-12-01T12:44:03Z,"By JUAN A. LOZANO - Associated Press
HOUSTON (AP) More Americans now believe the death penalty, which is undergoing a yearslong decline of use and support, is being administered unfairly, a finding … [+5272 chars]",associated-press,Associated Press
By SETH BORENSTEIN and JAMEY KEATEN - Associated Press,"Top world leaders talk of climate crisis at UN summit. They say they must act on fossil fuels, war","International climate talks turned into a power game as dozens of world leaders including the Saudi crown prince and India’s prime minister were to speak, though two of the world’s most powerful men — President Joe Biden of the U.S.…",https://apnews.com/article/cop28-climate-summit-dubai-oil-fossil-fuel-global-warming-f72309c3d0a17c40817b7d2bbf55829b,https://bloximages.newyork1.vip.townnews.com/roanoke.com/content/tncms/assets/v3/editorial/a/da/adabfb9f-b13c-5fe5-a799-0aa740f58551/6569cb1c9be6c.image.jpg?crop=1763%2C926%2C0%2C124&resize=1200%2C630&order=crop%2Cresize,2023-12-01T11:45:56Z,"By SETH BORENSTEIN and JAMEY KEATEN - Associated Press
DUBAI, United Arab Emirates (AP) International climate talks turned to a power game on Friday as dozens of world leaders took turns bemoaning t… [+5518 chars]",associated-press,Associated Press
By JON GAMBRELL and MALAK HARB - Associated Press,The resumption of the Israel-Hamas war casts long shadow over Dubai's COP28 climate talks,"As world leaders gathered for the COP28 climate summit in Dubai, the collapse of a cease-fire in the Israel-Hamas war has plunged the conflict back into open combat and cast a long shadow over the talks. Israel’s top diplomat for…",https://apnews.com/article/cop28-climate-summit-israel-palestinians-hamas-war-b2ded089961f96d05bb2f171131e8cf6,https://bloximages.newyork1.vip.townnews.com/roanoke.com/content/tncms/assets/v3/editorial/7/9c/79c66784-c11e-50fd-8fff-a0895463f8b1/6569cb278e003.image.jpg?crop=1763%2C926%2C0%2C124&resize=1200%2C630&order=crop%2Cresize,2023-12-01T11:25:22Z,"By JON GAMBRELL and MALAK HARB - Associated Press
DUBAI, United Arab Emirates (AP) As world leaders gathered for the COP28 climate summit in Dubai, the collapse of a cease-fire in the Israel-Hamas w… [+5673 chars]",associated-press,Associated Press
WILL WEISSERT,NEWSOM MAKES NATIONAL DEBUT,"California Democratic Gov. Gavin Newsom and Florida Republican Gov. Ron DeSantis are squaring off in a nationally televised event that will feature two young, high-profile leaders with presidential aspirations who may have to wait for future cycles to realize…",https://apnews.com/article/desantis-newsom-debate-fox-news-hannity-2024-d7695de79221caf80a730532c614c01f,https://dims.apnews.com/dims4/default/9e5bb50/2147483647/strip/true/crop/1860x1046+0+168/resize/1440x810!/quality/90/?url=https%3A%2F%2Fassets.apnews.com%2Fcf%2Fd2%2Fb253355bc3c6c999dca570e3e078%2F4e0ecb0282dc41f7825386ddf54e9b99,2023-12-01T02:58:36Z,"WASHINGTON (AP) California Democratic Gov. Gavin Newsom and Florida Republican Gov. Ron DeSantis are meeting in a nationally televised event on Thursday night that will feature two young, high-profil… [+2549 chars]",associated-press,Associated Press
