author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
Jessica Wang,Macaulay Culkin reunites with Home Alone mom Catherine O'Hara,"Merry Christmas, ya filthy animals: Macaulay Culkin has tearful reunion with 'Home Alone' mom Catherine O'Hara at his Hollywood Walk of Fame ceremony.",https://ew.com/macaulay-culkin-catherine-ohara-home-alone-reunion-hollywood-walk-of-fame-ceremony-8409936,https://ew.com/thmb/p7xx4rT_WDsNTRobFdjKjH4Xlx8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/catherine-ohera-Macaulay-Culkin-120123-tout-9330751825054203ab466eb1b9870a67.jpg,2023-12-01T22:12:05Z,"""Kevin!"" Catherine O'Hara reunited with herHome Alone son Macaulay Culkin at his Hollywood Walk of Fame star ceremony on Friday, where she delivered a speech that reduced her former costar to tears.… [+2701 chars]",entertainment-weekly,Entertainment Weekly
Kristen Baldwin,Theresa says Gerry's 'Golden Bachelor' proposal pause was a 'mistake',"Golden Bachelor Gerry Turner's bride-to-be Theresa Nist says she's still a little miffed about his proposal fake-out pause, but she's will to forgive him. Read our interview with the happy couple.",https://ew.com/the-golden-bachelor-gerry-theresa-interview-proposal-pause-mistake-8409568,https://ew.com/thmb/PHLcei6MHRB-SrGlodxCYqXnANg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/the-golden-bachelor-gerry-theresa-120123-7024b7da2ea049878adedbd56bb30e55.jpg,2023-12-01T21:19:47Z,"It's official: Romance never retires.
On Thursday's season finale of The Golden Bachelor, 72-year-old widower Gerry Turner ended his ""journey"" by getting down on one knee and popping the question to… [+6354 chars]",entertainment-weekly,Entertainment Weekly
Emlyn Travis,'Final Destination' star Devon Sawa pokes fun at log death scene,'Final Destination' star Devon Sawa put the ho-ho-horror in the holiday season with a sly reference to the series' infamous log death scene.,https://ew.com/devon-sawa-pokes-fun-final-destination-log-death-scene-holiday-post-8409791,https://ew.com/thmb/fyKZfVOhD9ir758JfhaRZ8ZKf48=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/devon-sawa-final-destination-120123-6b6c9951e670423aa8050767d9adc373.jpg,2023-12-01T19:36:36Z,"Put him on the naughty list! Final Destination star Devon Sawa is poking fun at the series infamous log death scene in his latest holiday-themed Instagram post. 
On Friday, the actor, who played Ale… [+1716 chars]",entertainment-weekly,Entertainment Weekly
Joey Nolfi,Simu Liu says health scare forced him to exit Disney Christmas event,Actor Simu Liu revealed 'health scares' forced him to drop out of Disney World's 2023 Candlelight Processional celebrity lineup at Epcot.,https://ew.com/simu-liu-health-scare-dropped-out-disney-world-candlelight-processional-8409616,https://ew.com/thmb/cLumc2gGGRZBrgGh8vbBzNf9Xws=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/simu-liu-epcot-sphere-120123-2-4de45c617b724841a4dec16825742a37.jpg,2023-12-01T16:12:20Z,"Simu Liu's holiday season began with a serious health issue that forced him to drop out of a Christmas event at Disney World, the Marvel and Barbie actor revealed Thursday.
""I'm so absolutely gutted… [+1972 chars]",entertainment-weekly,Entertainment Weekly
Lester Fabian Brathwaite,'Frasier' finale first look sees Peri Gilpin return as Roz,Peri Gilpin on her return as Roz Doyle on 'Frasier': 'It was a fantasy come true to play that part again and to go back into that world.',https://ew.com/frasier-reboot-peri-gilpin-roz-first-look-photos-8408332,https://ew.com/thmb/s5Gr3r_XENczEiOBTs2jVbl5DzA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Peri-Gilpin-Fraiser-112923-01-8d20d83793344d79b9e9ee5b694bd5c6.jpg,2023-12-01T15:00:00Z,"It's funny when sitcom friends start feeling like your actual friends, and who doesn't love a good reunion?
For 11 seasons, Frasier Crane (Kelsey Grammer) and Roz Doyle (Peri Gilpin) sat across from… [+5665 chars]",entertainment-weekly,Entertainment Weekly
Wesley Stenzel,Kelly Clarkson's ex-husband ordered to pay her $2.6 million,"Kelly Clarkson's ex-husband, Brandon Blackstock, has been ordered to pay the 'Stronger' singer more than $2.6 million in connection with unlawfully procured business deals.",https://ew.com/kelly-clarkson-ex-husband-ordered-pay-her-2-6-million-8409491,https://ew.com/thmb/pkJfIyRWhkLQ72hnvt3JbCV7uyc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Kelly-Clarkson-and-Brandon-Blackstock-113023-3d9ec9d3e72d4a7d9f35a48f70e56c78.jpg,2023-12-01T02:13:50Z,"Kelly Clarkson's ex-husband, Brandon Blackstock, has been ordered to pay the ""Stronger"" singer more than $2.6 million in connection with several business deals he improperly orchestrated.
As Clarkso… [+1717 chars]",entertainment-weekly,Entertainment Weekly
Lauren Huff,"Mariska Hargitay returns the favor, names her cat after Taylor Swift song","'Law & Order: SVU' star Mariska Hargitay has added a new feline to her family, and given it a Taylor Swift-inspired name after Hargitay's 'SVU' character famously inspired one of Swift's beloved cat's names.",https://ew.com/mariska-hargitay-names-her-cat-after-taylor-swift-song-8409446,https://ew.com/thmb/f_nFa0jTs1zqsXDeA_qhLtTKMjo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Mariska-Hargitay-Taylor-Swift-113023-fd63d9d9ddc74f39a359b85be1c0e40a.jpg,2023-11-30T23:42:12Z,"Karma is a cat, purring in Mariska Hargitay's lap 'cuz it loves her.
The Law &amp; Order: SVU star has added a new feline to her family, and given it a Taylor Swift-inspired name: Karma. Hargitay sh… [+1788 chars]",entertainment-weekly,Entertainment Weekly
Devan Coggan,Tom Holland says 'Spider-Man 4' would need to do justice to character,"Tom holland says he'd love to suit up for another 'Spider-Man' movie, but only if the story made sense: 'I want to protect his legacy.'",https://ew.com/tom-holland-spider-man-4-would-need-to-do-justice-to-character-8409436,https://ew.com/thmb/1A-ZL32_3DrSpQsmLQENYcMcer8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/spider-man-homecoming-df-28509_r2_r-2000-962bcaf81c2c49d3948188abdc9f56f7.jpg,2023-11-30T23:13:47Z,"Tom Holland isn't ruling out a return to playing Spider-Man as long as the story is up to snuff.
Speaking to reporters at a recent Critics Choice Association press conference, Holland addressed his … [+2123 chars]",entertainment-weekly,Entertainment Weekly
Wesley Stenzel,'Chicago Fire' star Alberto Rosende exiting show in season 12,Albert Rosende is leaving 'Chicago Fire' after four seasons playing Blake Gallo — but fans will have one more chance to see him in action.,https://ew.com/alberto-rosende-leaving-chicago-fire-season-12-8409389,https://ew.com/thmb/32XzG6O0sigLlGdZKhxrKA2jWpo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Alberto-Rosende11302338-1cfb7bde88654935b17d7285488e1217.jpg,2023-11-30T22:53:11Z,"Alberto Rosende is about to battle his last blaze.
After four seasons playing firefighter Blake Gallo on Chicago Fire, the actor is set to leave the NBC series in season 12, EW has confirmed. Rosend… [+1492 chars]",entertainment-weekly,Entertainment Weekly
Shania Russell,Disney CEO Bob Iger explains why 'The Marvels' flopped at box office,Disney CEO Bob Iger blames 'The Marvels' flopping at the box office on a lack of 'supervision' on set and says the studio has made too many sequels.,https://ew.com/disney-bob-iger-explains-why-the-marvels-flopped-at-box-office-8409177,https://ew.com/thmb/ZLLtr3vPIBAW2X5Lh6873GkTE4E=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/bob-iger-the-marvels-113023-0d816cf944d84834bab3c0a8941c066d.jpg,2023-11-30T19:53:27Z,"Disney CEO Robert Iger has addressed The Marvels flopping at the box office, pointing a finger at pandemic-related production restrictions.
""The Marvels was shot during COVID,"" Iger said during a pa… [+3884 chars]",entertainment-weekly,Entertainment Weekly
