author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
Reuters,"Germany's Kuehne examines offer for Signa's Hamburg skyscraper, Handelsblatt reports","German logistics entrepreneur Klaus-Michael Kuehne is examining a takeover of Signa Group's abandoned Elbtower high-rise project in his hometown of Hamburg, Handelsblatt reported.",https://www.reuters.com/business/germanys-kuehne-examines-offer-signas-hamburg-skyscraper-report-2023-11-26/,https://www.reuters.com/resizer/-J5TEXoXkkAHtdfK5z3yo1b2BS8=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/TZ2LUDPKDBLYTHCJ3PQ4EGWMSI.jpg,2023-11-26T19:54:14Z,"FRANKFURT, Nov 26 (Reuters) - German logistics entrepreneur Klaus-Michael Kuehne is examining a takeover of Signa Group's abandoned Elbtower high-rise project in his hometown of Hamburg, Handelsblatt… [+1147 chars]",reuters,Reuters
Reuters,Shoppers click 'buy' as retailers slash prices ahead of Cyber Monday,"Holiday shoppers in the U.S. are seeking out the best deals and strategically nabbing the deepest discounts ahead of Cyber Monday, according to data from retailer websites aggregated by third parties.",https://www.reuters.com/business/shoppers-click-buy-retailers-slash-prices-ahead-cyber-monday-2023-11-26/,https://www.reuters.com/resizer/4vOemJyv1FmpNAe2eozOdfXW7Mw=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/HRJ3UPF7XJJ4LM3DWCLSB7BE54.jpg,2023-11-26T11:15:34Z,"Nov 26 (Reuters) - Holiday shoppers in the U.S. are seeking out the best deals and strategically nabbing the deepest discounts ahead of Cyber Monday, according to data from retailer websites aggregat… [+4114 chars]",reuters,Reuters
Reuters,US Black Friday sales rise 2.5% -Mastercard Spendingpulse,"Mastercard <a href=""https://www.reuters.com/markets/companies/MA.N"" target=""_blank"">(MA.N)</a> Spendingpulse said on Saturday that U.S. retail sales on Black Friday rose 2.5% year-over-year excluding automotive sales, not adjusted for inflation.",https://www.reuters.com/business/retail-consumer/us-black-friday-sales-rise-25-mastercard-spendingpulse-2023-11-25/,https://www.reuters.com/resizer/WpbZDguFey14nLgthA_YFLHkU9I=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/72Z55HUYNBKXNMHVJGF7OBJTBI.jpg,2023-11-25T18:23:30Z,"Nov 25 (Reuters) - Mastercard (MA.N) Spendingpulse said on Saturday that U.S. retail sales on Black Friday rose 2.5% year-over-year excluding automotive sales, not adjusted for inflation.
In Septemb… [+859 chars]",reuters,Reuters
Reuters,X may lose up to $75M by year-end on advertiser exodus,"Elon Musk-owned social media company X could lose as much as $75 million in advertising revenue by the end of the year as dozens of major brands pause their marketing campaigns, the New York Times reported on Friday.",https://www.reuters.com/technology/x-may-lose-up-75-mln-by-year-end-advertiser-exodus-nyt-2023-11-24/,https://www.reuters.com/resizer/Nbq-yd_5BSo_kHtJqyn1Ns8j22I=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/FE25SM7Y4JMBLMWQNX3BX37LPE.jpg,2023-11-25T14:07:10Z,"Nov 24 (Reuters) - Elon Musk-owned social media company X could lose as much as $75 million in advertising revenue by the end of the year as dozens of major brands pause their marketing campaigns, th… [+1474 chars]",reuters,Reuters
Uditha Jayasinghe,Sri Lanka to OK Sinopec's $4.5 bln refinery proposal on Monday -minister,"Sri Lanka will likely approve on Monday a proposal from Chinese state refiner Sinopec to build a $4.5-billion-dollar refinery, the South Asian island nation's energy minister said on Saturday.",https://www.reuters.com/business/energy/sri-lanka-ok-sinopecs-45-bln-refinery-proposal-monday-minister-2023-11-25/,https://www.reuters.com/resizer/mtv0deZMUYoKyr5Jnkq1JkzLvqQ=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/I6KDLTBC4FJFPCGSLNHRKCDJ2A.jpg,2023-11-25T13:45:45Z,"COLOMBO, Nov 25 (Reuters) - Sri Lanka will likely approve on Monday a proposal from Chinese state refiner Sinopec to build a $4.5-billion-dollar refinery, the South Asian island nation's energy minis… [+2425 chars]",reuters,Reuters
Reuters,Brazil signs on to global climate deal to triple renewable energy,"Brazil has signed onto an agreement to <a href=""/business/energy/brazil-set-widen-lead-cleanest-major-power-sector-maguire-2023-10-11/"">triple renewable energy</a> globally by 2030 and shift away from using coal, the country's Foreign Ministry said on Friday,…",https://www.reuters.com/business/energy/brazil-signs-global-climate-deal-triple-renewable-energy-2023-11-24/,https://www.reuters.com/resizer/0BZps0_tYeFlqpwVVV1X4VOag1A=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/IRYBWYWWTFIPZENDDKM7NR34WY.jpg,2023-11-25T06:05:49Z,"Nov 24 (Reuters) - Brazil has signed onto an agreement to triple renewable energy globally by 2030 and shift away from using coal, the country's Foreign Ministry said on Friday, joining a prospective… [+1698 chars]",reuters,Reuters
Gloria Dickie,"World's largest iceberg breaks free, heads toward Southern Ocean","The world's largest iceberg is on the move for the first time in more than three decades, scientists said on Friday.",https://www.reuters.com/business/environment/worlds-largest-iceberg-breaks-free-heads-toward-southern-ocean-2023-11-24/,https://www.reuters.com/resizer/yKXXJiRHCsu-pjgsGWlzx-zeLCI=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/T7COBHTLVJLY5L6ARMLECQQ2PU.jpg,2023-11-24T15:32:32Z,"Nov 24 - The world's largest iceberg is on the move for the first time in more than three decades, scientists said on Friday.
At almost 4,000 square km (1,500 square miles), the Antarctic iceberg ca… [+2881 chars]",reuters,Reuters
Reuters,Buffett's Berkshire Hathaway exits India's Paytm in $165 million deal,"Billionaire Warren Buffett's Berkshire Hathaway <a href=""https://www.reuters.com/markets/companies/BRKa.N"" target=""_blank"">(BRKa.N)</a> has exited India's Paytm <a href=""https://www.reuters.com/markets/companies/PAYT.NS"" target=""_blank"">(PAYT.NS)</a> after se…",https://www.reuters.com/business/berkshire-hathaway-exits-indias-paytm-165-mln-deal-2023-11-24/,https://www.reuters.com/resizer/zWAByFvr-x9DxDXECO3vceInmy8=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/NUKGED6LRBM5BAMBMMD37USMH4.jpg,2023-11-24T15:28:08Z,"BENGALURU, Nov 24 (Reuters) - Billionaire Warren Buffett's Berkshire Hathaway (BRKa.N) has exited India's Paytm (PAYT.NS) after selling its entire stake in the company for about 13.71 billion rupees … [+1146 chars]",reuters,Reuters
Reuters,Swedish union blocks Tesla components as dispute intensifies,"The conflict between Swedish unions and Tesla <a href=""https://www.reuters.com/markets/companies/TSLA.O"" target=""_blank"">(TSLA.O)</a> heated up on Friday as a supplier of critical components joined in a sympathy action to get the electric car maker to sign a …",https://www.reuters.com/business/autos-transportation/swedish-union-blocks-tesla-components-dispute-intensifies-2023-11-24/,https://www.reuters.com/resizer/WXVYVafgZGIokpPaFaLBUjgRXg8=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/HYBEHQEHHFMQNL7OEMA4GNVRLQ.jpg,2023-11-24T13:53:30Z,"STOCKHOLM, Nov 24 (Reuters) - The conflict between Swedish unions and Tesla (TSLA.O) heated up on Friday as a supplier of critical components joined in a sympathy action to get the electric car maker… [+2707 chars]",reuters,Reuters
Reuters,"Tesla ready to invest up to $2 bln to build India factory, but with riders -ET","Tesla <a href=""https://www.reuters.com/markets/companies/TSLA.O"" target=""_blank"">(TSLA.O)</a> is ready to invest up to $2 billion to set up a factory in India if the government cuts import duty on its vehicles to 15% for the first two years of operations, the…",https://www.reuters.com/business/autos-transportation/tesla-ready-invest-up-2-bln-build-india-factory-with-riders-et-2023-11-24/,https://www.reuters.com/resizer/MMXoBpND0DXVtA_yvueVWOwiodA=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/GWI77EP5MZISTJAO7Y2OTE5WC4.jpg,2023-11-24T11:05:46Z,"BENGALURU, Nov 24 (Reuters) - Tesla (TSLA.O) is ready to invest up to $2 billion to set up a factory in India if the government cuts import duty on its vehicles to 15% for the first two years of oper… [+1115 chars]",reuters,Reuters
Reuters,Grid operator to interfere in Finnish electricity market after bidding error,"Finnish transmission system operator Fingrid intends to take measures to balance electricity production and consumption, it said on Thursday, after a bidding error sent Finnish power prices nosediving earlier in the day.",https://www.reuters.com/business/energy/bidding-error-sees-finnish-day-ahead-power-price-tumble-20340-eurosmwh-2023-11-23/,https://www.reuters.com/pf/resources/images/reuters/reuters-default.webp?d=163,2023-11-24T08:09:35Z,"OSLO, Nov 23 (Reuters) - Finnish transmission system operator Fingrid intends to take measures to balance electricity production and consumption, it said on Thursday, after a bidding error sent Finni… [+1887 chars]",reuters,Reuters
Sarah Mcfarlane,Explainer: Global fossil fuel subsidies on the rise despite calls for phase-out,"World governments agreed at the COP26 climate summit in Glasgow two years ago to phase out ""inefficient"" fossil fuel subsidies to help fight global warming.",https://www.reuters.com/business/environment/global-fossil-fuel-subsidies-rise-despite-calls-phase-out-2023-11-23/,https://www.reuters.com/resizer/EeZvPrnk5BDpGG7YtwGtYWALsK8=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/LEDZ3ZM3ORO5TJJYXVIBVCLBGU.jpg,2023-11-23T22:59:12Z,"Nov 23 (Reuters) - World governments agreed at the COP26 climate summit in Glasgow two years ago to phase out ""inefficient"" fossil fuel subsidies to help fight global warming.
Since then, however, g… [+5143 chars]",reuters,Reuters
Sinead Cruise,"Exclusive: Barclays working on $1.25 billion cost plan, could cut up to 2,000 jobs -source","Barclays <a href=""https://www.reuters.com/markets/companies/BARC.L"" target=""_blank"">(BARC.L)</a> is working on plans to save as much as 1 billion pounds ($1.25 billion), which could involve cutting as many as 2,000 jobs, mainly in the British bank's back offi…",https://www.reuters.com/business/finance/barclays-working-125-bln-cost-plan-could-cut-up-2000-jobs-source-2023-11-23/,https://www.reuters.com/resizer/mE5Wk0CF-79rrFrC2wcx5Q6G8Mk=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/XU5DN3S5EJOE3DLNAIMWLF44RA.jpg,2023-11-23T16:43:34Z,"LONDON, Nov 23 (Reuters) - Barclays (BARC.L) is working on plans to save as much as 1 billion pounds ($1.25 billion), which could involve cutting as many as 2,000 jobs, mainly in the British bank's b… [+3372 chars]",reuters,Reuters
